id;start_date;end_date;comments
1;2021-08-18T13:01:46;2021-08-18T20:49:40;maximize Burg partnerships
2;2021-08-18T21:28:40;2021-08-18T12:02:53;indexing directional model
3;2021-08-19T00:56:42;2021-08-18T06:45:45;Soft engage productivity
4;2021-08-18T14:30:26;2021-08-18T07:25:59;Viaduct Berkshire
5;2021-08-18T15:10:10;2021-08-18T09:08:43;back Oregon
6;2021-08-18T12:02:32;2021-08-18T16:27:59;parse purple plum
7;2021-08-18T04:47:00;2021-08-18T11:49:23;Credit up
8;2021-08-18T04:33:48;2021-08-18T03:55:27;Wooden Metal Incredible
9;2021-08-18T17:58:47;2021-08-18T17:57:22;Account
10;2021-08-18T15:50:23;2021-08-19T01:02:13;override Dollar
